PLATFORM_NAME,TOTAL_CASES,TOTAL_POUNDS
POPCORN,14,53.746875
PURCHASED DIPS,4,45
TC,9,42.1875
MATADOR,3,6.75
TC,1,4.6875
MATADOR,2,4.5
TC,74,508.75
VP,2,10.5
PC,7,26.25
PC,9,53.4375
PC,31,174.375
PC,34,250.75
BCP,5,18.75
FRITOS,26.148,194.47575
TC,692.3,4759.5625
MATADOR,20.5,46.125
CRACKER JACKS,34.5,213.46875
POPCORN,868,3332.30625
MATADOR,32.75,73.6875
BCP,111.991,346.472156
TC,34,159.375
PC,4,25.5
PC,127,714.375
PC,5,18.75
FRITOS,29,215.6875
FRITOS,31,268.828125
BCP,77.44,239.58
PC,2,7.5
KETTLE,52.342,215.91075
VP,5,35
KETTLE,21,147
VP,2,10.5
TC,152,712.5
CRACKER JACKS,34.75,215.015625
POPCORN,130,614.25
PURCHASED DIPS,287.748,3237.165
BCP,3,9.28125
BCP,1,3.09375
PURCHASED DIPS,2,22.5
POPCORN,882,3386.053125
CRACKER JACKS,14,86.625
PC,6,46.5
VP,138,1293.75
MATADOR,10,22.5
KETTLE,23,161
PC,4,29.5
POPCORN,9,34.551563
PC,8,47.5
MATADOR,4,9
PC,4,25.5
TC,9,42.1875
PURCHASED DIPS,84.167,946.87875
TC,37,254.375
PC,1,6.375
TC,39,268.125
BCP,7,21.65625
BCP,6,18.5625
TC,5,23.4375
TC,3,14.0625
MATADOR,19,42.75
PC,75,445.3125
PC,2,11.25
PURCHASED DIPS,2,22.5
PC,289,2131.375
MATADOR,26,58.5
VP,108,567
TC,18,123.75
PC,39,287.625
BCP,45.94,142.126875
PPW / SHIPPER,91,1828.53125
TC,318.833,1494.529688
KETTLE,202,1414
VP,54,378
BCP,2,6.1875
MATADOR,2,4.5
PC,9,53.4375
VP,1,7
PURCHASED DIPS,416,4680
FRITOS,70,520.625
PC,14,108.5
VP,84,787.5
KETTLE,8,33
PURCHASED DIPS,38,427.5
PC,16,124
KETTLE,3,21
PC,34,191.25
TC,41.666,195.309375
BCP,3,11.25
VP,5,35
PURCHASED DIPS,65.916,741.555
TC,2,9.375
PC,5,28.125
PURCHASED DIPS,8,90
PURCHASED DIPS,26,292.5
PC,1,5.625
VP,16,112
PC,37,219.6875
VP,4,21
VP,1,5.25
TC,27.335,128.132813
BCP,17,52.59375
PURCHASED DIPS,99,1113.75
BCP,3,9.28125
TC,13,60.9375
VP,9,63
MATADOR,22,49.5
KETTLE,77.724,544.068
TC,8,55
MATADOR,4,9
PC,48,306
PURCHASED DIPS,431.33,4852.4625
BCP,41,153.75
VP,15,105
PURCHASED DIPS,56.167,631.87875
TC,4,1.5625
PRETZELS,44,240.625
FRITOS,135.362,1006.754875
KETTLE,1,7
PC,28,157.5
VP,54,283.5
VP,23,120.75
MATADOR,25.833,58.12425
MATADOR,54,121.5
TC,258,1209.375
PC,233,1718.375
FRITOS,30.393,226.047938
BCP,14.445,44.689219
BCP,145.99,451.656563
PC,139,1025.125
PURCHASED DIPS,169.75,1909.6875
FRITOS,16,119
BCP,75.664,234.0855
TC,5347.7,36765.4375
TC,1009,4729.6875
FRITOS,29,251.484375
PC,2,15.4
PC,169,950.625
VP,13,91
TC,32,220
PC,1,5.9375
TC,4,18.75
TC,23,107.8125
PC,38,225.625
PURCHASED DIPS,198,2227.5
TC,80,550
TC,132,907.5
TC,9,42.1875
PC,95,564.0625
FRITOS,6,52.03125
PURCHASED DIPS,81.334,915.0075
KETTLE,46.572,326.004
PC,18,101.25
CRACKER JACKS,17.25,106.734375
PC,14.667,93.502125
TC,3,20.625
BCP,13,40.21875
VP,76,532
KETTLE,8,56
PC,22,162.25
PC,4,23.75
PC,23,169.625
PURCHASED DIPS,156,1755
TC,691,4750.625
VP,189.142,1323.994
PURCHASED DIPS,242.001,2722.51125
PC,4,25.5
PC,73,538.375
TC,46.667,218.751563
BCP,29.554,91.432688
TC,34.334,160.940625
PC,12,93
VP,15,78.75
BCP,10,30.9375
PC,32,236
FRITOS,2.858,21.256375
PURCHASED DIPS,30,337.5
PC,2,11.25
VP,108,756
TC,188,1292.5
TC,45,210.9375
CRACKER JACKS,26.75,165.515625
VP,3,21
MATADOR,6,13.5
PC,22.167,124.689375
MATADOR,4,9
PC,6,38.25
MATADOR,1,2.25
PC,1,7.875
POPCORN,5,19.195313
PURCHASED DIPS,52,585
VP,19,133
TC,110,756.25
TC,27,185.625
PC,324,2389.5
